Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Филёвский Парк,ABADA Capoeira м. Багратионовская,Martial Arts Dojo,"Новозаводская ул., 27, город Москва, город Москва",55.7497333006081,37.4987753419596
Филёвский Парк,Alex Fitness,Gym / Fitness Center,"ТРЦ «Филион» (Багратионовский пр., 5)",55.744426957087114,37.50896563163044
Даниловский,CrossFit Natrium,Gym / Fitness Center,"Дубининская ул., 55",55.72171961193045,37.63655384905208
Даниловский,Московский Центр Крав-мага,Martial Arts Dojo,"Восточная Улица, 4",55.71559834884668,37.6587221525869
Даниловский,"Тренажёрный зал ""Арена"" на Восточной",Gym / Fitness Center,ул. Восточная. 4АС8,55.71572100272557,37.659205919576436
Даниловский,Боксёрский клуб «Торпедо»,Boxing Gym,"Стадион им. Э.А. Стрельцова (Восточная ул., 4а, стр. 12)",55.71730873738288,37.65741831761429
Южнопортовый,Crossfit Pahar (Rigert Academy),Gym / Fitness Center,1я ул. Машиностроения 10,55.71354561997249,37.67209547538396
Южнопортовый,Зебра,Gym / Fitness Center,"1-я ул. Машиностроения,  10, 115088",55.71463487179607,37.6726129329165
Южнопортовый,Комета,Gym / Fitness Center,"1-я ул. Машиностроения, 3",55.71493349458631,37.67321329183924
Крылатское,Yaradance Studio,Gym / Fitness Center,Россия,55.770951915651686,37.40697575767797
Крылатское,Cycle Pro,Cycle Studio,"Крылатская ул., 10, www.cyclepro",55.762899795933905,37.433184334883386
Крылатское,International gym,Gymnastics Gym,"Крылатская Ул., 10",55.76351192331204,37.433283053454964
Крылатское,K•10 Cycle Studio,Cycle Studio,"10 улица Крылатская, 121552",55.764199025405645,37.433604882333775
Крылатское,Sport&spa,Gym / Fitness Center,Крылатская улица дом 10 стр.1,55.763925649320825,37.43240038035177
Филёвский Парк,Спортивный центр доктора Бубновского,Gym,Неверовского 10с4,55.75057717152328,37.49807619575664
Южнопортовый,Атлетический клуб «Аксон» им. Ю. С. Поветкина,Gym,"Шарикоподшипниковская ул., 6/14 (Новоостаповская ул.), 115088",55.72011307201209,37.6732349395752
Текстильщики,"ДС ""Москвич""",Gym / Fitness Center,"ул. Люблинская, 15",55.70697533310804,37.73122661540782
Текстильщики,Winner,Gym / Fitness Center,"8 улица 8-я Текстильщиков, 109129",55.70400796031423,37.74056863293414
Текстильщики,Спарта,Gym / Fitness Center,"8-я ул. Текстильщиков, 15",55.70274077279845,37.745314588019035
Крылатское,The Base Fitness,Gym / Fitness Center,"улица Крылатская 15, 121614",55.769923972928886,37.42606259852725
Филёвский Парк,Fashion Fitness ФилиГрад,Gym / Fitness Center,"Береговой проезд 5а, 121087",55.75495903580158,37.509878987774854
Южнопортовый,МСК Гравитация,Gym / Fitness Center,Новоостаповская 5/2,55.72316423752175,37.677933545163
Южнопортовый,AR City Gym,Gym / Fitness Center,"ул. Мельникова, 7, с. 2",55.725449032745,37.67261918333893
Южнопортовый,YOGA Factory,Yoga Studio,"Волгоградский просп., 32, стр. 8",55.72222477624526,37.689911697677104
Южнопортовый,Боксёрский клуб «Ударник»,Boxing Gym,"Волгоградский просп., 32, корп. 8",55.7221026450743,37.69054943367264
Текстильщики,Спортзал / Тренажерный зал,Gym,Варшавское Шоссе,55.708587086915216,37.74228795506677
Крылатское,Workout Живописный,Outdoor Gym,Россия,55.77343206419981,37.42353386131961
Филёвский Парк,Геркулес Фитнесс & Релакс,Gym / Fitness Center,"Филевский бул., 24, 121601",55.76616469618072,37.48634930310849
Филёвский Парк,Фитнес-клуб «Физ-Ра»,Gym / Fitness Center,"Филевский бул., 10, 121601",55.763597085755684,37.48702583046311
Южнопортовый,Центр Боевых Искусств,Martial Arts Dojo,Волгоградский Проспект 28 С 1,55.72625465599414,37.68285323133932
Южнопортовый,CrossFit Medieval,Gym / Fitness Center,Volgogradskiy Prospect 32 building 8,55.7235396735089,37.68887161454274
Южнопортовый,Спортивный зал МЦА ОАО Сбербанка России,Gym,"Волгоградский пр-кт, 32, корпус 45, этаж 2",55.72235373979999,37.69579479589972
Нижегородский,Capoeira sem fronteira,Martial Arts Dojo,"Волгоградский просп., 45",55.73107966660989,37.68799861667998
Нижегородский,СССР,Gym / Fitness Center,Михайловский проезд 1,55.73187620344293,37.68688398445571
Нижегородский,СССР,Gym / Fitness Center,Ул. Средняя Калитниковская Д.26/27 Стр.1,55.733362942846746,37.69769829034505
Рязанский,"Спортивный Клуб ""ФЛАГМАН""",Gym / Fitness Center,Мещерский Пер 2/5,55.71515411296944,37.7797375753161
Нижегородский,СБК Бурмистрова,Martial Arts Dojo,"Ул нижегородская, 50",55.73538533632728,37.701208034138354
Нижегородский,Legenda Fight Club,Martial Arts Dojo,109052,55.733183999999994,37.713342
Нижегородский,Зебра,Gym / Fitness Center,"Рязанский просп., 2, 109052",55.730201569463,37.73871351804056
Рязанский,Platinum Fitness,Gym / Fitness Center,Москва,55.71928961849385,37.778827082485535
