Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price
Обручевский,ЮЗАО,Муниципальный округ,45293578,45905000,6.11,87458,14313,1742.0,21.7,55.6641579,37.5203033,200635.0
Орехово-Борисово Северное,ЮАО,Муниципальный округ,45296577,45921000,7.67,132307,17249,1939.6,15.1,55.619223,37.701102500000005,153030.0
Орехово-Борисово Южное,ЮАО,Муниципальный округ,45296579,45922000,6.94,147835,21301,2149.7,14.8,55.603885,37.729895,141300.0
Останкинский,СВАО,Муниципальный округ,45280572,45358000,12.46,63697,5112,1131.4,18.6,55.82491140000001,37.61466958307348,214077.0
Отрадное,СВАО,Муниципальный округ,45280574,45359000,10.18,185745,18246,3191.6,17.8,55.8646371,37.6044745,147300.0
Очаково-Матвеевское,ЗАО,Муниципальный округ,45268579,45323000,17.54,130975,7467,2255.1,19.7,55.690291,37.4406611,193998.0
Перово,ВАО,Муниципальный округ,45263583,45312000,9.73,141269,14518,2248.0,16.5,55.7511973,37.786482299999996,154025.0
Печатники,ЮВАО,Муниципальный округ,45290582,45393000,17.89,86706,4846,1369.3,16.5,55.6935214,37.7269124,144301.0
Покровское-Стрешнево,СЗАО,Муниципальный округ,45283569,45368000,12.9,59512,4613,1006.7,18.1,55.812739199999996,37.4622685,194344.0
Преображенское,ВАО,Муниципальный округ,45263594,45316000,5.61,91574,16323,1453.2,17.7,55.7938235,37.7113174,150951.0
Пресненский,ЦАО,Муниципальный округ,45286575,45380000,11.7,128314,10967,1416.4,11.5,55.7559915,37.598002,353288.0
Проспект Вернадского,ЗАО,Муниципальный округ,45268581,45324000,4.65,64228,13812,1831.0,29.6,55.6771999,37.5060872,233500.0
Раменки,ЗАО,Муниципальный округ,45268584,45325000,18.54,142389,7680,3511.2,27.0,55.69756070000001,37.4985423,311662.0
Ростокино,СВАО,Муниципальный округ,45280577,45360000,3.54,40196,11354,732.8,19.7,55.8396775,37.6668741,175646.0
Рязанский,ЮВАО,Муниципальный округ,45290586,45394000,6.49,110073,16960,2025.9,19.9,55.7171259,37.793436,155645.0
